Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cucumbers,8,1.0,0.12,0.0,0.0,0.0,0.004,0.02,Vegetables A-E
Dandelion greens,1 cup,1.0,0.4444444444444444,0.027777777777777776,0.005555555555555556,0.0,0.017777777777777778,0.08888888888888889,Vegetables A-E
Eggplant,1 cup,1.0,0.16666666666666666,0.011111111111111112,0.0,0.0,0.005555555555555556,0.05,Vegetables A-E
Endive,2 oz.,1.0,0.17543859649122806,0.017543859649122806,0.0,0.0,0.010526315789473684,0.03508771929824561,Vegetables A-E
Kale,1 cup,1.0,0.4090909090909091,0.03636363636363636,0.00909090909090909,0.0,0.008181818181818182,0.07272727272727272,Vegetables F-P
Kohlrabi,1 cup,1.0,0.2857142857142857,0.014285714285714285,0.0,0.0,0.010714285714285714,0.06428571428571428,Vegetables F-P
"Lambs quarters, steamed",1 cup,1.0,0.32,0.03333333333333333,0.0,0.0,0.021333333333333336,0.04666666666666667,Vegetables F-P
Lentils,1 cup,1.0,1.06,0.075,0.0,0.0,0.012,0.19,Vegetables F-P
Lettuce,1/4 head,1.0,0.14,0.01,0.0,0.0,0.005,0.02,Vegetables F-P
Iceberg,1/4 head,1.0,0.13,0.0,0.0,0.0,0.005,0.03,Vegetables F-P
Mushrooms canned,4,1.0,0.1,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333,Vegetables F-P
Mustard greens,1,1.0,0.21428571428571427,0.02142857142857143,0.0,0.0,0.008571428571428572,0.04285714285714286,Vegetables F-P
Okra,1 1/3 cups,1.0,0.32,0.01,0.0,0.0,0.01,0.07,Vegetables F-P
Onions,1,1.0,0.38095238095238093,0.009523809523809525,0.0,0.0,0.007619047619047619,0.08571428571428572,Vegetables F-P
"Raw, green",6 small,1.0,0.44,0.0,0.0,0.0,0.02,0.1,Vegetables F-P
Parsley,2 T.,1.0,0.04,0.0,0.0,0.0,0.0,0.0,Vegetables F-P
Parsnips,1 cup,1.0,0.6129032258064516,0.012903225806451613,0.0064516129032258064,0.0,0.01935483870967742,0.14193548387096774,Vegetables F-P
Peas,1 cup,1.0,0.66,0.03,0.0,0.0,0.001,0.13,Vegetables F-P
"Fresh, steamed peas",1 cup,1.0,0.7,0.05,0.0,0.0,0.022000000000000002,0.12,Vegetables R-Z
Frozen peas,1 cup,1.0,1.32,0.05,0.0,0.0,0.018000000000000002,0.12,Vegetables R-Z
Split cooked peas,4 cups,1.0,1.15,0.08,0.0,0.0,0.004,0.21,Vegetables R-Z
heated peas,1 cup,1.0,0.53,0.03,0.0,0.0,0.01,0.1,Vegetables R-Z
